name,link,extra_fee,location,star_rating,latitude,longitude,number_nights
Two Night Adventure Glamping Escape with Three Activities for Two at Wall Eden Farm,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-nights-with-three-activities-for-two-at-wall-eden,£47,Somerset (Wall Eden Farm),5.0,51.227,-2.962,2
Winter Two Night Adventure Glamping Escape with Axe Throwing or Archery for Four at Wall Eden Farm,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/winter-two-night-adventure-glamping-for-four-wall-eden,£47,Somerset (Wall Eden Farm),,51.227,-2.962,2
Culdees Castle Estate Two Night Luxury Large Glamping Lodge Stay for Two,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-large-glamping-break-culdees-castle-for-two,£33,Perthshire (Culdees Castle Estate),,56.362,-3.866,2
Two Night Lancashire Glamping Break with Wood Fired Hot Tub for Two at Stanley Villa Farm,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-lancashire-glamping-break-with-wood-fired-hot-tub-for-two-at-stanley-villa-farm,£31,Lancashire (Stanley Villa Farm),,53.764,-2.705,2
Two Night Stratford-upon-Avon Glamping Break with Breakfast Hamper for Four at The Apple Farm,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-glamping-stay-breakfast-for-four-,£28,Warwickshire (Stratford-upon-Avon),,52.191,-1.707,2
Two Night Midweek Break in a Luxury Yurt for up to Four People at Wall Eden Farm,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-midweek-yurt-break-for-four-at-wall-eden,£27,Somerset (Wall Eden Farm),,51.227,-2.962,2
"Luxury Two Night Winter Glamping Escape in a Kabina Grande with Hot Tub for up to Five at Baxby Manor, North Yorkshire",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/luxury-two-night-winter-glamping-escape-in-a-kabina-grande-with-hot-tub-for-up-to-five-at-baxby-manor-north-yorkshire,£23,North Yorkshire (Baxby Manor),5.0,54.151,-1.499,2
Two Night Midweek Break in a Luxury Persian Tent for Two at Penhein Glamping,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-midweek-break-in-luxury-persian-tent-for-two,£13,Monmouthshire (Penhein Glamping),5.0,51.745,-2.782,2
Overnight Luxury Glamping Break with Private Hot Tub for up to Six at the Award Winning Secret Garden,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/overnight-luxury-glamping-break-with-private-hot-tub-for-up-to-six-at-the-award-winning-secret-garden,£12,Kent (Secret Garden),,51.21,0.905,
Woodland Pod Glamping One Night Break with Dinner for a Family of Four at Moddershall Oaks,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/woodland-pod-glamping-one-night-break-with-dinner-for-a-family-of-four-at-moddershall-oaks,£8,Staffordshire (Moddershall Oaks),,52.966,-2.151,1
Port Lympne Safari Two Night Glamping Stay for up to Four,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/port-lympne-safari-two-night-glamping-stay-for-up-to-four,£8,Kent (Port Lympne),5.0,51.075,1.001,2
"Luxury Two Night Winter Glamping Escape in a Kabina Classic with Hot Tub for Two Baxby Manor, North Yorkshire",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/luxury-two-night-winter-glamping-escape-in-a-kabina-classic-with-hot-tub-for-two-baxby-manor-north-yorkshire,£0,North Yorkshire (Baxby Manor),,54.151,-1.499,2
Culdees Castle Estate Two Night Luxury Glamping Lodge Stay for Two,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-luxury-glamping-lodge-experience-for-two-at-cudlees-castle-estate,£0,Perthshire (Culdees Castle Estate),,56.362,-3.866,2
"The Quiet Site Three Night Gingerbread House Glamping Break, Lake District",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/three-night-lake-district-gingerbread-house-glamping-,£0,Cumbria (The Quiet Site),,54.46,-3.089,
"The Quiet Site Three Night Glamping Cabin Break, Lake District",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/three-night-glamping-at-the-quiet-site-lake-district,£0,Cumbria (The Quiet Site),5.0,54.46,-3.089,
Surf and Coasteering Camping Weekend in Cornwall,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/surf-coasteering-camping-weekend-cornwall-,£0,Cornwall,,50.5,-4.5,
"Surf, Yoga and Woodland Camping Weekend in Cornwall",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/surf-yoga-woodland-camping-weekend-cornwall-,£0,Cornwall,,50.5,-4.5,
Winter Two Night Escape for Four in the Blackberry or Blueberry Glamping Pod at Wall Eden Farm,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/winter-two-night-glamping-pod-for-four-at-wall-eden-farm,£0,Somerset (Wall Eden Farm),,51.227,-2.962,2
Two Night Stratford-upon-Avon Glamping Break with Breakfast Hamper for Two Adults and Three Children at The Apple Farm,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-glamping-stay-breakfast-for-five-,£0,Warwickshire (Stratford-upon-Avon),,52.191,-1.707,2
"Three Night Shepherd’s Hut Break for Two at Northcombe Farm and Lakes, Devon",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/three-night-shepherd-hut-break-for-two-at-northcombe-farm,£0,Devon (Northcombe Farm and Lakes),,50.936,-3.826,
"Two Night Weekend Luxury Shepherds Hut Stay for Two at New Lodge Farm, Rockingham Forest",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-weekend-luxury-shepherds-hut-stay-for-two-at-new-lodge-farm-rockingham-forest,£0,"Northamptonshire (New Lodge Farm, Rockingham Forest)",,52.436,-0.678,2
"The Quiet Site Three Night Hobbit Hole Glamping, Lake District",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/the-quiet-site-three-night-hobbit-hole-glamping-lake-district,£0,Cumbria (The Quiet Site),,54.46,-3.089,
