Experience,Star rating,Location,Extra fee,Latitude,Longitude
One Night Break in a Feature Room for Two at the Down Hall Hotel & Spa,5.0,Down Hall Hotel & Spa,48.5,51.837,0.149
One Night Suffolk Cottage Stay with Hot Tub and Sauna for up to Four,2.0,Suffolk,48.0,52.188,1.446
One Night High Season Stay with Dining for Two at The 4* Grosvenor Hotel Stockbridge,,Stockbridge,48.0,51.114,-1.487
Luxury One Night Break with Dining and Treatment for Two at Titanic Spa,4.1,Titanic Spa,48.0,53.625,-1.801
Two Night Derbyshire Break in a Suite for Two at Makeney Hall Hotel,,Derbyshire,47.0,53.122,-1.556
Two Night Adventure Glamping Escape with Three Activities for Two at Wall Eden Farm,5.0,Wall Eden Farm,47.0,51.227,-2.962
Winter Two Night Adventure Glamping Escape with Axe Throwing or Archery for Four at Wall Eden Farm,,Wall Eden Farm,47.0,51.227,-2.962
The Cranleigh Boutique Luxury Lake District Two Night Superior Room Stay with Afternoon Tea for Two,5.0,Lake District,45.0,54.46,-3.089
Three Night New Forest Escape for Two at the South Lawn Hotel,,New Forest,43.0,50.873,-1.576
Two Night Boutique Edinburgh City Break for Two at Hotel Indigo,,Edinburgh,43.0,55.953,-3.189
One Night Bath Summer Stay with Dinner for Two at Dukes Hotel,,Bath,43.0,51.381,-2.359
Wotton House Country Estate Hotel Two Night Surrey Hills Escape with Dinner for Two,4.7,Surrey Hills,43.0,51.221,-0.386
One Night Cosy Cottage Break with Horse Simulator Lesson and Riding Lesson For Two,,,43.0,,
One Night Weekend Edinburgh Stay with Dinner at the Home of Hearts Football Club for Two,,Edinburgh,43.0,55.953,-3.189
One Night Luxury Suffolk Break with Spa Treatment for Two at Hintlesham Hall Hotel,,Suffolk,43.0,52.188,1.446
Revitalising Weekend One Night Spa Break with Two Treatments and Prosecco for Two at Macdonald Hotels,2.3,Macdonald Hotels,43.0,,
"Two Night Coastal Escape and Bottle of Prosecco for Two at The Grove, Norfolk",4.1,Norfolk,43.0,52.631,1.297
Two Night Boutique Break in Historic York for Two at Hotel Indigo,5.0,York,42.0,53.96,-1.087
Premium Comedy Murder Mystery Break with Three Course Dinner for Two,,,,,
Two Night Stratford Upon Avon Boutique Stay with Dinner and Breakfast for Two at Burnside Hotel,,,42.0,,
One Night Luxury Cotswolds Break for Two at the 5* Ellenborough Park,4.7,Cotswolds,42.0,51.833,-1.843
Shrigley Hall Hotel Two Night Peak District Break with Dinner and Prosecco for Two,3.4,Peak District,41.0,53.35,-1.8
One Night Spa Escape with Dinner for Two at the Spread Eagle Hotel and Spa,,,38.0,,
Luxury Weekday Spa Treat with Hour Treatment and Prosecco for Two at The May Fair Spa,,,38.0,,
"Midweek Spa Treat with Treatments, Lunch and Prosecco for Two at The Spa, Edwardian Manchester",5.0,Manchester,38.0,53.48,-2.242
Warner Bros. Studio Tour London '96 The Making of Harry Potter and One Night Dining Stay for Two,3.5,London,38.0,51.507,-0.128
Two Night Cotswolds Break for Two at Hatton Court Hotel,4.1,Cotswolds,38.0,51.833,-1.843
One Night Snowdonia Break with Fizz and Underground Adventures Challenges at Go Below for Two,,,37.0,,
Two Night Getaway with Three Course Dinner for Two at Whittlebury Hall,3.5,Whittlebury Hall,36.0,52.083,-1.001
"One Night Lake District Break with Five Course Dinner for Two at Cragwood Country House Hotel, Windermere",4.5,Windermere,34.0,54.379,-2.907
Luxury Comedy Murder Mystery Break with Three Course Dinner for Two,3.9,,33.0,,
One Night London Break with Champagne for Two at the 5* Courthouse Hotel,,London,33.0,51.507,-0.128
One Night Cambridgeshire Break with Dinner for Two at the Poets House Hotel & Restaurant,,Cambridgeshire,33.0,52.205,0.119
Culdees Castle Estate Two Night Luxury Large Glamping Lodge Stay for Two,,Culdees Castle Estate,33.0,56.362,-3.866
Escapade Silverstone One Night Break with Breakfast for Two in a One Bedroom Trackside Residence,,Silverstone,32.0,52.092,-1.024
Two Night Weekend Break in The City of Glasgow for Two,,Glasgow,32.0,55.865,-4.251
Bannatyne Hastings One Night Spa Break with Dinner and Hour Treatment for Two,5.0,Hastings,32.0,50.855,0.573
"Two Night Off Grid Luxury Cabin Stay for Two in the Dee Valley, North Wales",,Dee Valley,31.0,52.988,-3.414
Two Night Lancashire Glamping Break with Wood Fired Hot Tub for Two at Stanley Villa Farm,,Lancashire,31.0,53.764,-2.705
One Night Lake District Break with Dinner at Briery Wood Country House Hotel and Windermere Cruise for Two,,,28.0,,
One Night Boutique Oxford City Break at Vanbrugh House Hotel with Classic Dining at Victors for Two,,Oxford,28.0,51.752,-1.258
One Night Break with Dinner and Tickets to Windsor Castle for Two,,Windsor,28.0,51.483,-0.604
5* Virgin Hotels Edinburgh One Night Weekend Stay with Breakfast for Two,5.0,Edinburgh,28.0,55.953,-3.189
Two Night Stratford-upon-Avon Glamping Break with Breakfast Hamper for Four at The Apple Farm,,,28.0,,
"Two Night Lake District Break for Two at Briery Wood Country House Hotel, Windermere",4.8,Windermere,28.0,54.379,-2.907
One Night Break with Prosecco and Glimpse of London Helicopter Tour for Two,2.0,London,27.0,51.507,-0.128
One Night Pamper Break with Treatment and Prosecco for Two at the 5* Roseate Reading,,,27.0,,
Two Night Midweek Break in a Luxury Yurt for up to Four People at Wall Eden Farm,,,27.0,,
Two Night Blackpool Stay for Two Adults and Two Children at the Big Blue Hotel,,,25.0,,
One Night Spa Break with Mud Rasul and Dinner for Two at The Three Horseshoes Inn,2.5,The Three Horseshoes Inn,25.0,53.139,-1.814
"Luxury Two Night Winter Glamping Escape in a Kabina Grande with Hot Tub for up to Five at Baxby Manor, North Yorkshire",5.0,North Yorkshire,23.0,54.151,-1.499
Yotel Manchester Two Night Weekend City Break with Breakfast for Two,,,23.0,,
One Night Summer Season Bath City Break at The Bird and Entrance to the Thermae Bath Spa for Two,4.0,Bath,23.0,51.381,-2.359
Two Night Welsh Countryside Break for Two at The Falcondale Hotel,4.0,Wales,23.0,52.13,-3.783
Escape Spa Break with Treatment and Dinner for Two at The Oxfordshire Golf Hotel & Spa,,,,,
